description,product_no,(No column name)
Resin Blade,00777-8045-008-QKP,3
Kimtech Pure G3 NXT Nitrile Gloves (SM),036000-62991,2
Kimtech Pure G3 NXT Nitrile Gloves (MD),036000-62992,2
Kleenguard G10 Grey Nitrile Gloves (MD),036000-97822,2
Kleenguard G10 Grey Nitrile Gloves (LG),036000-97823,2
CR-1020 (Chrome Etchant),060-0021000-GAL,3
Ansell-Microchem-Universal-Cleanroom-Hood,076490-17935,2
Decon90,10132-302,4
O-RING FluoroSil .676 ID X .070 W,102212382,2
O-RING FluoroSil .426 ID X .070 W,102212386,2
O-RING FluoroSil  2.050 ID X .103 W,102212434,2
Edge Filter - 1584nm LWP Circle 25mm Diameter,102386781,3
Reusable Adhesive-Back Holder with Round Grip,1024A11,2
V-Slot NEMA 17 Linear Actuator Bundle (Belt Driven) - 500mm Black,1070-Bundle,2
ADS1115 16-Bit ADC - 4 Channel with Programmable Gain Amplifier,1085,2
Versalogic Mini PCIe A/D 8x 16-bit,1241-1141-ND,2
"1"" Silicon Wafers",124s1811457,2
Sharpie Permanent Marker Fine Point Black 12/Pack,125328,2
"Wafer Carrier Tray for 1""/25mm Single Wafer Natural Polypropylene",1395-10,5
"Wafer Carrier Tray for 2.5""/63mm Single Wafer Natural Polypropylene",1395-25,2
TMC2209 Motor Controller/Driver Power Management Evaluation Board,1460-TMC2209SILENTSTEPSTICK-ND,3
PurSwab,14-960-3H,2
Mat document cover for Epson Perfection V700 Photo,1630060,2
OSI Black Caulk,1637190,2
RPi USB-C Power Supply,1690-RPIUSB-CPOWERSUPPLYBLACKUS-ND,2
"12"" medium tack blue tape",18074-12.00,5
"DiceTape 12"" Wide",18074-12.00,3
Hydrogen peroxide solution,18304-5L,2
Veil,19-169-4062,2
Infrasil Cuvette Open top standard path length = 1 mm (select correct path length at web page),1-I-1,2
"Nitrogen Spray Gun 1/4"" NPT natural",2002-21,3
1x3Case: Slide Mailer 1-Slide PP,21093-1,2
Slide Mailer 1-Slide PP,21093-1,3
PELCO® MICROSLIDES Storage Box blue blue case of 12 boxes,2306-4-CS,2
TRU RED 3 Compartment Wire Mesh File Organizer Matte Black,24402462,2
Sulfuric Acid,258105-2.5L-PC,2
Hydrochloric acid,258148-2.5L,2
Manual Hydraulic Door Closer Heavy Duty Interior and Exterior,30171514,2
Color-Coded Tweezers Set 6 Pieces,3041N127,2
"Strut Channel Nut Zinc-Plated Steel for 1-5/8"" Channel Height 1/2""-13 Thread Size",3259T44,2
