id,description,product_no,notes
8967,In-Line Multimode Fiber Optic Filter Mount,FOFMS-UV,None
8968,In-Line Multimode Fiber Optic Filter Mount,FOFMS,None
9000,"Wafer Carrier Tray for 2.5""/63mm Single Wafer Natural Polypropylene",1395-25,None
9036,Magnetic Nanoparticles,IO-O5-10,None
9037,Magnetic Nanoparticles,IO-O10-10,None
9038,Magnetic Nanoparticles,IO-O20-10,None
9039,FFKM O-rings,C661-019,None
9040,FFKM O-rings,C661-010,None
9052,"Wafer Carrier Tray for 2.5""/63mm Single Wafer Natural Polypropylene",1395-25,None
9102,"SMA-to-BNC (12"")",CA2624,None
9103,"SMA-to-BNC (12"")",CA2612,None
9109,"SMA-to-BNC (12"")",CA2812,None
9200,Firm Polyurethane Tubing (black),5648K33,None
9202,Firm Polyurethane Tubing (black),5648K31,None
9213,Chemical-Resistant Plastic Routing Clamp,2993T82,None
9215,Chemical-Resistant Plastic Routing Clamp,2993T84,None
9283,8-32 Cap Screw Kit,HW-KIT1,None
9412,6.5X Zoom Lens,MVL6X12Z,None
9423,C-Mount Adapter,MVLCMC,None
9437,"Clean Room Entry Mats (Sticky) 24"" x 36"" w/ Frame",H-1567,None
9442,Teflon Tape,6802K55,None
9545,Utility Cart,B06XKKGR43,None
9566,Firm Polyurethane Tubing for Air and Water,5648K19,None
9646,6.5X Zoom Lens,MVL6X12Z,None
9655,C-Mount Adapter,MVLCMC,None
9663,Teflon Tape,6802K33,None
9672,"Clean Room Entry Mats (Sticky) 24"" x 36"" w/ Frame",H-1567W,None
9715,"Routing Clamps Weld-Mount 2 Line Zinc-Plated Steel Top Plate 1/4"" ID",3252T111,None
9776,Cleanroom ESD Shoes with 2 Meg Resister White 1/pair (US Men 10.5/Women 12),EESD-SHOE-W27,Clean Room Shoe Reimbursement Program
9777,Cleanroom ESD Shoes with 2 Meg Resister White 1/pair (US Men 10.5/Women 12),EESD-SHOE-W29,Clean Room Shoe Reimbursement Program
9794,Timer,12175T75,None
9808,1 micron Pall Emflon filter,AB1FM3PH1,None
9924,STEP-ON STAINLESS STEEL TRASH CANS,H-3623,None
9939,Plano-Convex Lens,LA4052,None
9940,Round-to-Linear Fiber Bundles,BFL200HS02,None
9941,Plano-Convex Lens,LA4380,None
9943,Round-to-Linear Fiber Bundles,BFL200LS02,None
9944,Plano-Convex Lens,LA4102,None
9946,Plano-Concave Lens,LC4252,None
9947,Plano-Concave Lens,LC4513,None
9948,Plano-Concave Lens,LC4888,None
9950,"Filter Holder for Ø1"" Optics",CFH2-F,None
9951,"Filter Holder for Ø1"" Optics",CFH2-B,None
10009,Complete Micropipette Kit: 4 Pipettors (0.5-10μl 10-100μl 100-1000μl 1000-5000μl); Pipette Stand; 3 Racks of 96 Sterile Pipette Tips,None,Ryan placed the order via cc
10016,Flexible Crevice tool,B075K1M43V,Placed the order via cc
10017,Flexible Crevice tool,B00F1BYJSC,Placed the order via cc
10029,SEM Sample Holders,16112-30,Longfei Sent Request to Marielle
10030,SEM Sample Holders,16355-20,Longfei Sent Request to Marielle
10031,Tweezers,5367-3P,Longfei Sent Request to Marielle
10032,Tweezers,503,Longfei Sent Request to Marielle
10100,Plano-Convex Lens,SPX503RAR.L,None
10101,Plano-Convex Lens,SPX529RAR.L,None
10102,Plano-Concave Lens,SPC501RAR.L,None
10103,Plano-Concave Lens,SPC502RAR.L,None
10104,Plano-Concave Lens,SPC507RAR.L,None
10180,Optical Chopper System,MC2000B,None
10394,"6"" Brushed Nickel Cabinet Pulls - 3.8"" Hole Center",B08CRJP5FG,None
10395,DB15 Male and Plastic Hoods,B01M5ERKI9,None
10431,"Mounting Base 1"" x 3"" x 3/8""",BA1SL,None
